id,q_id,text,wrong_type
91,23,I and II only,
92,23,I and III only,
93,24,universal,
94,24,hereditary,
95,24,contagious,
96,24,ephemeral,
97,25,I only,
98,25,II only,
99,25,I and III only,
100,25,II and III only,
101,26,Americans’ positivity is not a true reflection of their affect.,
102,26,Being “well-off” is not the same as being “happy.”,
103,26,Stereotypes tend to be unwarranted generalizations.,
104,26,Americans tend to have high rates of depression.,
105,27,whether or not they considered the buildings to be attractive.,
106,27,what they knew of the history of the buildings.,
107,27,the relative size of the buildings.,
108,27,the influence of their peers.,
109,28,emotions do not influence our expectations nearly as much as we think they do.,
110,28,participants without negative emotions were affected in the same way as those with negative emotions.,
111,28,the study did not measure and compare the participants’ moods before and after their imagined entry into the courthouse.,
112,28,the study did not compare the mood of those entering the new building with the mood of those who imagined entering the new building.,
113,29,"A popular bank has décor, colors, and accents suggestive of gold.",
114,29,An unpopular car wash does not have a drive-through design.,
115,29,A popular restaurant has a children’s play area outside.,
116,29,An unpopular grocery store has bad produce.,
117,30,Academic papers are typically not especially brilliant.,
118,30,Academics seldom address color perception in their papers.,
119,30,Academics often reach very strange conclusions in their papers.,
120,30,Academic papers are usually outdated soon after they are written.,
121,31,It would strengthen Gladstone’s basic thesis.,
122,31,It would weaken Gladstone’s basic thesis.,
123,31,It would require a modification of Gladstone’s basic thesis.,
124,31,It would not affect Gladstone’s basic thesis.,
125,32,The children would be able to easily distinguish various versions of red.,
126,32,The children would be drawn more to objects in various versions of red than to those of any other color.,
127,32,The children would seldom bother mentioning what are to them obvious differences among various versions of red.,
128,32,The children would need to practice distinguishing among various versions of red for years before achieving proficiency.,
129,33,I only,
130,33,II only,
131,33,I and III only,
132,33,II and III only,
133,34,It is part of an argument why PE classes should be required.,
134,34,It is part of an argument that PE classes improve people’s health.,
135,34,It explains why students should only be exempt from PE with parental permission.,
136,34,It explains why students should have a choice about whether to take PE while not having a choice about taking other compulsory classes.,
137,35,PE tends not to have a final examination.,
138,35,PE tends not to have a heavy homework burden.,
139,35,"Compulsory PE, if eliminated, would not be replaced by another compulsory course.",
140,35,It is unfair to require students in the higher grades to prepare for multiple examinations.,
141,36,It would restate an objection to compulsory physical education classes.,
142,36,It would support a point about discovering sports aptitude made in rebuttal.,
143,36,It would directly challenge one of the author’s claims.,
144,36,It would contradict one of the author’s examples.,
145,37,opposing formal educational mandates.,
146,37,describing the consequences of making PE compulsory.,
147,37,presenting reasons for why PE should not be compulsory.,
148,37,advocating that PE be abolished in UK state schools.,
149,38,It provides an explanation for a difficulty implied in the opening paragraph.,
150,38,It illustrates an example of the author’s preferred solution.,
151,38,It both contradicts and resolves a difficulty implied in the opening paragraph.,
152,38,It neither supports nor challenges claims made in the passage.,
153,39,cautious support.,
154,39,staunch neutrality.,
155,39,general disapproval.,
156,39,confused ambivalence.,
157,40,Teachers’ grades and comments that appear on student assignments.,
158,40,Library catalogs that classify books according to various fiction and non-fiction genres.,
159,40,Road signs that inform drivers of dangers and speed limits.,
160,40,Nutritional information about calories and vitamin content appearing on product packages.,
161,41,illustrate the need for censorship.,
162,41,explain why librarians should monitor what children read.,
163,41,characterize the culture of the United States relative to that of other countries.,
164,41,explain why rating systems have been developed,
